id,first_name,last_name,gender,date_of_birthday,deceased_indicator,owns_car,address,property_valuation,job_title,job_industry_category,wealth_segment,postcode,state
25,Geoff,Assaf,Male,1976-12-02,N,Yes,9 Buell Park,7,Accounting Assistant III,Financial Services,Mass Customer,4116,QLD
26,Trixi,Ginnelly,Female,1978-06-10,N,Yes,02663 Buell Parkway,11,Editor,Financial Services,Mass Customer,2519,New South Wales
27,Garvin,Klees,Male,1978-09-25,N,Yes,2294 Pleasure Place,12,Research Nurse,Health,Mass Customer,2135,New South Wales
28,Fee,Zellmer,Male,1973-09-30,N,Yes,2951 Petterle Place,9,Senior Quality Engineer,Health,Affluent Customer,2756,New South Wales
29,Mona,Sancraft,Female,1968-06-22,N,No,63 Lukken Drive,9,Safety Technician III,Manufacturing,Mass Customer,2170,New South Wales
30,Darrick,Helleckas,Male,1961-10-18,N,Yes,833 Luster Way,8,,IT,Affluent Customer,4005,QLD
31,Star,Praton,Female,1962-11-24,N,Yes,34 Russell Plaza,6,Staff Accountant III,Telecommunications,High Net Worth,4127,QLD
32,Marion,Vanichkin,Female,1995-04-20,N,No,78 Del Sol Hill,8,Legal Assistant,Manufacturing,Affluent Customer,2535,New South Wales
33,Ernst,Hacon,Male,1957-06-25,N,Yes,54 Sage Plaza,1,Product Engineer,n/a,Affluent Customer,4726,QLD
34,Jephthah,Bachmann,U,1843-12-21,N,No,90 Lawn Parkway,4,Legal Assistant,IT,Affluent Customer,4805,QLD
35,Margaretha,Strettle,Female,1963-09-28,N,Yes,38726 Ilene Crossing,10,Information Systems Manager,Health,High Net Worth,2212,New South Wales
36,Lurette,Stonnell,Female,1977-11-09,N,No,3496 Brown Drive,8,VP Quality Control,n/a,Affluent Customer,2207,New South Wales
37,Laurie,Dwerryhouse,Female,1985-12-22,N,No,7188 Cody Way,9,Social Worker,Health,High Net Worth,3350,VIC
38,Cordi,Merman,Female,1955-10-29,N,No,1 Claremont Park,10,Senior Cost Accountant,Financial Services,Affluent Customer,3931,VIC
39,Hunfredo,Smalley,Male,1979-04-16,N,No,60 Eagan Circle,8,Assistant Media Planner,Entertainment,Mass Customer,4018,QLD
40,Tomasine,Jerche,Female,1981-10-27,N,No,89314 Eagle Crest Center,2,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,4670,QLD
41,Basilius,Coupe,Male,1976-04-14,N,No,2028 Lakewood Place,3,Food Chemist,Health,Mass Customer,2480,New South Wales
42,Chiquita,Durnall,Female,1977-03-28,N,No,70875 Hudson Point,6,Accountant III,Manufacturing,Mass Customer,3212,VIC
43,Indira,Belt,Female,1983-03-01,N,No,543 Killdeer Park,4,Director of Sales,Retail,Mass Customer,2322,New South Wales
44,Neron,Verick,Male,1981-10-18,N,Yes,22125 Ramsey Drive,9,Assistant Media Planner,Entertainment,Affluent Customer,3198,VIC
45,Trace,Woodhead,Male,1975-09-23,N,No,3107 Calypso Terrace,9,Senior Financial Analyst,Financial Services,Mass Customer,2210,New South Wales
46,Kaila,Allin,Female,1972-02-26,N,Yes,957 Veith Junction,10,,n/a,Affluent Customer,2047,New South Wales
47,Matthew,Jeaycock,Male,1992-10-22,N,No,4853 Gulseth Avenue,5,Registered Nurse,Health,Affluent Customer,4503,QLD
48,Rebbecca,Casone,Female,1975-08-15,N,Yes,9 Michigan Terrace,8,Biostatistician II,n/a,Mass Customer,2145,New South Wales
49,Nolly,Ownsworth,Male,1994-01-26,N,No,62 Steensland Road,3,VP Quality Control,n/a,Affluent Customer,4350,QLD
50,Whitby,Schapero,Male,1980-10-01,N,Yes,6 Homewood Avenue,8,Account Executive,Manufacturing,Mass Customer,2142,New South Wales
51,Fidelio,Dilke,Male,1959-12-05,N,No,15 Almo Lane,10,Computer Systems Analyst II,Retail,Mass Customer,2029,New South Wales
52,Curran,Bentson,Male,1988-06-22,N,Yes,690 Glacier Hill Circle,10,,Financial Services,Mass Customer,2127,New South Wales
53,Agnella,Gocke,Female,1954-04-18,N,No,89787 Village Green Terrace,6,Software Test Engineer II,Financial Services,Mass Customer,4280,QLD
54,Loralyn,Wonfor,Femal,1966-07-24,N,Yes,18 Elgar Park,9,Sales Associate,Property,Mass Customer,2166,New South Wales
55,Linc,Jillions,Male,1956-09-24,N,Yes,413 Mayer Street,9,Paralegal,Financial Services,Affluent Customer,2046,New South Wales
56,Reese,Ensor,Male,1996-07-04,N,Yes,39 3rd Drive,10,VP Sales,Property,Mass Customer,2026,New South Wales
57,Abba,Masedon,M,1988-06-13,N,Yes,44516 Katie Parkway,7,Chief Design Engineer,n/a,Mass Customer,2765,New South Wales
58,Dalenna,Pinnock,Female,1967-07-04,N,Yes,41 Schurz Center,8,Office Assistant III,Financial Services,Affluent Customer,2749,New South Wales
59,Niki,Heathcote,Male,2000-02-08,N,No,68150 Boyd Road,9,Physical Therapy Assistant,n/a,High Net Worth,2745,New South Wales
60,Nadiya,Champerlen,Female,1970-02-04,N,No,11474 Westend Hill,8,,Manufacturing,Mass Customer,3752,VIC
61,Kacey,Rowbottom,Female,1959-11-29,N,No,308 Jana Crossing,10,Help Desk Operator,Property,High Net Worth,2153,New South Wales
62,Sorcha,Roggers,Female,1979-07-06,N,Yes,163 Straubel Trail,10,,IT,Mass Customer,2217,New South Wales
63,Ebony,Zini,Female,1965-07-03,N,Yes,68294 Clarendon Crossing,10,Senior Quality Engineer,Retail,Mass Customer,2230,New South Wales
64,Gerek,Yve,Male,1978-03-25,N,No,486 Mariners Cove Plaza,7,Legal Assistant,IT,High Net Worth,3046,VIC
65,Yale,Tanser,Male,1976-04-01,N,Yes,0322 Dryden Court,7,Information Systems Manager,Financial Services,Affluent Customer,3183,VIC
66,Anselm,Gawne,Male,2002-03-11,N,No,9 Bonner Road,12,Account Executive,Argiculture,High Net Worth,2070,New South Wales
67,Vernon,,Male,1960-06-14,N,No,07041 Briar Crest Lane,10,Web Developer II,Retail,Mass Customer,2213,New South Wales
68,Dahlia,Eddoes,Female,1974-04-21,N,No,29466 Hanson Pass,6,Information Systems Manager,n/a,Affluent Customer,4208,QLD
69,Heidi,Milner,Female,1969-06-22,N,No,0212 Forest Run Trail,8,Web Developer II,n/a,Mass Customer,2774,New South Wales
70,Foster,Vannoort,Male,1993-02-27,N,No,33055 Menomonie Parkway,8,Paralegal,Financial Services,Affluent Customer,4133,QLD
71,Hoyt,Glavias,Male,1985-01-27,N,Yes,4763 Merchant Avenue,8,Research Associate,Argiculture,Affluent Customer,2756,New South Wales
72,Sammy,Cheese,Male,1972-02-13,N,Yes,439 Ridgeway Court,9,Administrative Officer,Manufacturing,Affluent Customer,4213,QLD
73,Minette,Worters,Female,1960-05-27,N,Yes,2 Clyde Gallagher Lane,5,Teacher,n/a,Affluent Customer,4170,QLD
74,Pansy,Kiddie,Female,1969-06-19,N,Yes,97455 Loeprich Lane,9,,n/a,Mass Customer,2153,New South Wales
75,Dollie,Sealy,Female,1978-07-15,N,No,9527 Ridgeway Street,10,VP Product Management,Property,Mass Customer,2073,New South Wales
76,Rea,Hasser,Female,1978-01-23,N,Yes,7 Jackson Point,1,Statistician II,Retail,High Net Worth,3561,VIC
77,Shermie,Andrin,Male,1989-09-12,N,No,74 Anniversary Junction,6,Automation Specialist IV,Financial Services,Mass Customer,2330,New South Wales
78,Arch,Van der Kruis,Male,1985-03-12,N,No,2083 Spaight Court,8,Business Systems Development Analyst,Argiculture,Affluent Customer,3977,VIC
79,Tybi,Silliman,Female,1968-10-02,N,No,2796 Caliangt Circle,12,Account Executive,Manufacturing,Mass Customer,2204,New South Wales
80,Pablo,Small,Male,1978-04-24,N,No,96061 Ludington Place,11,Data Coordiator,Entertainment,Mass Customer,2086,New South Wales
81,Bee,Blazewicz,Female,1986-09-04,N,No,5037 Merchant Crossing,11,,Health,High Net Worth,2226,New South Wales
82,Gleda,Cokely,Female,1965-06-28,N,No,289 Haas Street,11,Software Test Engineer III,Property,High Net Worth,2075,New South Wales
83,Kerr,Simmell,Male,1967-02-26,N,Yes,4423 Bartelt Parkway,12,Internal Auditor,IT,Mass Customer,2038,New South Wales
84,Rich,Mathiasen,Male,1958-02-07,N,Yes,5 Grim Center,12,Accountant III,n/a,Mass Customer,2069,New South Wales
85,Kane,Tixall,Male,1958-05-21,N,No,73042 Roth Crossing,11,Analyst Programmer,n/a,Mass Customer,2100,New South Wales
86,Job,Sleney,Male,1989-03-04,N,Yes,171 Fordem Junction,10,Occupational Therapist,Health,High Net Worth,2233,New South Wales
87,Fields,Langdon,Male,1974-04-23,N,No,2640 Manley Point,9,Editor,Financial Services,Mass Customer,2166,New South Wales
88,Malynda,Tumber,Female,1966-02-03,N,Yes,3 Hintze Pass,10,Help Desk Operator,Property,High Net Worth,3133,VIC
89,Benedicto,Hoxey,Male,1967-01-22,N,Yes,2 Mcbride Road,10,Speech Pathologist,Health,Mass Customer,3070,VIC
90,Cary,Garron,Male,1984-11-12,N,No,67234 Transport Hill,7,Quality Control Specialist,Manufacturing,Mass Customer,2777,New South Wales
91,Dylan,Meaker,Male,1955-02-24,N,Yes,72 Dorton Crossing,10,Senior Financial Analyst,Financial Services,Affluent Customer,3133,VIC
92,Jodee,Judkins,Female,1980-09-11,N,No,6 Heffernan Center,11,Recruiting Manager,Health,Mass Customer,2125,New South Wales
93,Gordon,Gowar,Male,1976-07-16,N,Yes,6088 Roxbury Hill,8,Project Manager,Retail,Mass Customer,2766,New South Wales
94,Wallache,Simchenko,Male,1974-08-07,N,No,105 Shelley Alley,10,Civil Engineer,Manufacturing,Mass Customer,2209,New South Wales
95,Nomi,Mallinder,Female,1960-12-25,N,Yes,079 Merry Park,9,Software Engineer III,Manufacturing,Affluent Customer,2160,New South Wales
96,Heath,Olford,Male,1968-08-31,N,No,8722 Summit Alley,12,Nuclear Power Engineer,Manufacturing,Mass Customer,2065,New South Wales
97,Arne,Corain,Male,1979-07-27,N,Yes,9554 Artisan Pass,10,Community Outreach Specialist,Financial Services,Mass Customer,2150,New South Wales
98,Allianora,Babalola,Female,1956-03-17,N,No,55850 Butterfield Road,9,Safety Technician IV,Health,Mass Customer,2168,New South Wales
99,Reggie,Mulliner,Male,1998-06-13,N,No,68 Little Fleur Crossing,12,VP Accounting,Financial Services,Mass Customer,2046,New South Wales
100,Tripp,Steed,Male,1968-05-11,N,Yes,85688 New Castle Crossing,10,General Manager,Financial Services,Mass Customer,4171,QLD
101,Goran,Kwietek,Male,1975-12-29,N,No,8611 Loomis Lane,10,Nurse Practicioner,Manufacturing,High Net Worth,2155,New South Wales
102,Langsdon,Tranfield,Male,1956-11-27,N,No,7909 Pierstorff Crossing,9,Quality Control Specialist,Manufacturing,Affluent Customer,2517,New South Wales
103,Ethyl,Runham,Female,1997-04-21,N,Yes,01 Muir Parkway,12,Product Engineer,Financial Services,Affluent Customer,2096,New South Wales
104,Odille,Panketh,Female,1978-06-06,N,Yes,0410 Division Junction,8,Automation Specialist II,Health,Mass Customer,2750,New South Wales
105,Maribeth,Pristnor,Female,2001-09-17,N,No,41 Service Lane,11,Recruiting Manager,Manufacturing,Mass Customer,2217,New South Wales
106,Glyn,,Male,1966-07-03,N,Yes,5 Moose Road,8,Software Test Engineer III,Health,High Net Worth,3977,VIC
107,Pris,Stallebrass,Female,1990-07-01,N,Yes,7342 Fieldstone Junction,12,Nurse Practicioner,Financial Services,Mass Customer,2093,New South Wales
108,Kayle,Mingaud,Female,1994-03-14,N,No,0 David Terrace,11,,n/a,High Net Worth,3204,VIC
109,Cody,Blabey,Male,1978-12-11,N,Yes,15239 Northwestern Point,4,Marketing Assistant,n/a,Affluent Customer,4300,QLD
110,Sascha,St. Quintin,Male,2000-07-31,N,No,60 Oneill Street,9,,Financial Services,Affluent Customer,2170,New South Wales
111,Cele,Evason,Female,1993-08-29,N,No,8194 Sachtjen Drive,1,Analyst Programmer,n/a,Mass Customer,3844,VIC
112,Shena,Parren,Female,1975-08-12,N,No,0349 Farmco Terrace,8,Marketing Manager,Retail,High Net Worth,2168,New South Wales
113,Gage,Nickless,Male,1956-05-06,N,No,185 Pennsylvania Way,6,Staff Scientist,n/a,Mass Customer,4226,QLD
114,Sunny,Swindells,Female,1985-10-23,N,No,432 Longview Circle,10,Teacher,Entertainment,Affluent Customer,3192,VIC
115,Alberik,Mereweather,Male,1981-12-21,N,No,5814 Bunker Hill Street,7,Account Executive,Health,Mass Customer,3070,VIC
116,Scottie,Swiffen,Male,1999-02-05,N,Yes,7 Carberry Crossing,2,Assistant Professor,Manufacturing,Affluent Customer,2485,New South Wales
117,Nance,Suttling,Female,1982-02-23,N,No,53 Talisman Trail,9,Marketing Manager,Manufacturing,Mass Customer,2097,New South Wales
118,Prentice,Pearmain,Male,1959-11-12,N,No,5 Prairie Rose Road,2,Budget/Accounting Analyst IV,n/a,High Net Worth,4817,QLD
119,Willey,Chastanet,Male,1981-12-04,N,Yes,84 Florence Parkway,8,Associate Professor,n/a,High Net Worth,2516,New South Wales
120,Sloan,Wagg,Male,1978-09-02,N,Yes,739 Elmside Way,8,Legal Assistant,Financial Services,High Net Worth,3074,VIC
121,Myles,Pauncefort,Male,1957-10-02,N,No,684 Northport Circle,10,Graphic Designer,Manufacturing,Mass Customer,2213,New South Wales
122,Colver,Itter,Male,1979-04-19,N,Yes,8 Hagan Hill,4,Quality Control Specialist,Financial Services,Mass Customer,4508,QLD
123,Almeta,Kalinsky,Female,1988-12-03,N,No,0 Pearson Crossing,1,Analyst Programmer,Financial Services,High Net Worth,4405,QLD
124,Kath,Cunney,Female,1995-05-03,N,Yes,10918 Merry Way,5,Administrative Assistant II,Health,High Net Worth,2452,New South Wales
125,Darrelle,Antoniewski,Female,1960-03-17,N,No,97 Coolidge Trail,9,Computer Systems Analyst II,Property,Mass Customer,2142,New South Wales
126,Norman,Cliff,Male,1992-10-15,N,Yes,58 Helena Hill,7,Administrative Officer,Health,Mass Customer,2205,New South Wales
127,Merrili,Whitear,Female,1974-12-03,N,No,352 Forster Place,3,Compensation Analyst,Financial Services,Mass Customer,4132,QLD
128,Isidro,Cypler,Male,1977-07-17,N,Yes,12306 Lawn Street,8,Systems Administrator III,Property,Mass Customer,2145,New South Wales
129,Weidar,Silkstone,Male,1985-07-20,N,Yes,19392 7th Trail,1,Financial Advisor,Financial Services,High Net Worth,4744,QLD
130,Raddy,Delete,Male,1997-07-18,N,No,1605 Northfield Junction,11,Chemical Engineer,Manufacturing,Mass Customer,2158,New South Wales
131,Jana,Renyard,Female,1964-10-16,N,No,9674 Graceland Junction,6,Administrative Officer,Retail,High Net Worth,3201,VIC
132,Celesta,Willavoys,Female,1963-07-07,N,Yes,638 Thackeray Junction,3,Web Designer I,Manufacturing,Mass Customer,4178,QLD
133,Eldridge,Fiddeman,Male,1977-06-13,N,Yes,869 Forster Circle,10,VP Accounting,Financial Services,Mass Customer,2112,New South Wales
134,Merna,McCulloch,Female,1997-08-01,N,Yes,0 Golden Leaf Crossing,9,Legal Assistant,Telecommunications,Affluent Customer,2033,New South Wales
135,Rosalia,Sigart,Female,1975-01-18,N,No,215 Lindbergh Trail,1,Internal Auditor,IT,Mass Customer,4401,QLD
136,Mel,Bennet,Male,1973-05-26,N,Yes,829 Washington Crossing,9,Senior Developer,Manufacturing,High Net Worth,3186,VIC
137,Vaughn,Artin,Male,1987-11-21,N,No,585 Loomis Court,11,Office Assistant II,Property,High Net Worth,2097,New South Wales
138,Onofredo,Franc,Male,1985-04-28,N,Yes,68063 Blue Bill Park Center,9,Recruiter,Financial Services,Affluent Customer,3058,VIC
139,Gar,,Male,1964-07-28,N,No,15673 Farmco Point,6,Operator,Telecommunications,Affluent Customer,4017,QLD
140,Morrie,Flaxon,Male,1994-05-20,N,No,22 Oxford Junction,3,Programmer Analyst III,Manufacturing,Mass Customer,2315,New South Wales
141,Townsend,Trobe,Male,1954-06-25,N,Yes,7245 Cottonwood Center,5,Teacher,Financial Services,High Net Worth,2285,New South Wales
142,Bentley,Fortesquieu,Male,1967-08-07,N,No,20382 Spohn Alley,11,Quality Engineer,Health,Affluent Customer,2219,New South Wales
143,Kendall,Figg,Male,1957-09-01,N,Yes,12375 Cambridge Pass,11,Operator,Argiculture,Mass Customer,2065,New South Wales
144,Jory,Barrabeale,U,,N,No,03 Granby Parkway,8,Environmental Tech,IT,Mass Customer,3216,VIC
145,Filippo,Ferrara,Male,1997-07-21,N,No,939 Coleman Pass,7,Account Executive,Financial Services,Mass Customer,4509,QLD
146,Ricoriki,Matlock,Male,1985-04-08,N,No,69914 Bowman Place,7,Quality Control Specialist,Manufacturing,Mass Customer,2330,NSW
147,Rea,Pattrick,Female,1973-12-06,N,Yes,34457 Springview Street,9,Analog Circuit Design manager,Health,Mass Customer,2759,NSW
148,Jaquith,Maffey,Female,1981-05-08,N,Yes,992 Old Shore Trail,12,Programmer Analyst III,n/a,Mass Customer,2069,NSW
149,Drucy,Kausche,Female,1995-01-31,N,Yes,453 Sheridan Street,8,Research Nurse,Health,Mass Customer,2747,NSW
150,Bradly,Crosse,Male,1983-08-23,N,No,8 Mccormick Crossing,8,Cost Accountant,Financial Services,Affluent Customer,2227,NSW
151,Donnie,Brimson,Male,1965-01-31,N,Yes,63344 Holmberg Crossing,10,Marketing Manager,Manufacturing,Mass Customer,2025,NSW
152,Stephana,Cardew,Female,1981-03-03,N,No,9 Huxley Circle,11,Compensation Analyst,Financial Services,Mass Customer,3191,VIC
153,Lorilyn,Walshe,Female,1977-07-28,N,Yes,0 Hazelcrest Road,8,Assistant Media Planner,Entertainment,Mass Customer,3025,VIC
154,Faydra,Dulieu,Female,1958-02-13,N,No,2 Continental Plaza,6,Junior Executive,n/a,Mass Customer,2263,NSW
155,Orran,Bogges,Male,1985-12-28,N,No,80 Duke Terrace,10,Quality Engineer,Manufacturing,Mass Customer,2233,NSW
156,Shayla,Rimmington,Female,1979-09-09,N,Yes,860 Hintze Lane,11,Cost Accountant,Financial Services,Mass Customer,2154,NSW
157,Chad,Houtby,Male,1974-11-23,N,No,3723 Bunker Hill Circle,10,Financial Advisor,Financial Services,Affluent Customer,2065,NSW
158,Hamlin,Odams,Male,1984-09-03,N,No,5 Corry Court,10,Internal Auditor,n/a,Affluent Customer,2119,NSW
159,Arin,Matskevich,Male,1987-05-12,N,No,65105 Sommers Pass,10,Research Nurse,Health,Affluent Customer,3016,VIC
160,Wake,Durning,Male,1964-07-15,N,No,2054 Sommers Pass,4,Registered Nurse,Health,Mass Customer,4113,QLD
161,Tadd,Bloss,Male,1976-01-21,N,No,22371 Miller Trail,10,,n/a,Mass Customer,2032,NSW
162,Port,Acuna,Male,1979-08-12,N,No,35807 Oneill Way,4,Nurse Practicioner,IT,Mass Customer,4300,QLD
163,Kessia,Helder,Female,1976-09-06,N,Yes,75612 Clarendon Junction,6,Librarian,Entertainment,High Net Worth,4352,QLD
164,Aarika,Van Vuuren,Female,1999-08-07,N,Yes,16 Golf View Center,6,Senior Editor,Retail,Affluent Customer,3020,VIC
165,Aldon,Roelofs,Male,1984-03-25,N,Yes,93 Iowa Junction,9,Administrative Officer,Argiculture,Mass Customer,2116,NSW
166,Elston,Oleszczak,Male,1955-06-12,N,No,48 Cascade Terrace,8,Structural Analysis Engineer,Manufacturing,Affluent Customer,3057,VIC
167,Nathalie,Tideswell,Female,1969-10-27,N,Yes,13950 Jackson Avenue,11,,Health,High Net Worth,2099,NSW
168,Reggie,Broggetti,U,,N,Yes,35386 Mockingbird Road,4,General Manager,IT,Affluent Customer,3749,VIC
169,Alfy,Bruhnke,Male,1957-10-19,N,Yes,2 Randy Point,8,Data Coordiator,Telecommunications,High Net Worth,2766,NSW
170,Jammal,Gever,Male,1975-06-02,N,No,6898 Redwing Park,9,Pharmacist,Health,High Net Worth,2148,NSW
171,Halli,Davidoff,Female,1970-12-04,N,No,52273 Bay Place,11,Assistant Manager,Manufacturing,Mass Customer,3145,VIC
172,Hilton,Carney,Male,1988-09-12,N,Yes,272 Montana Avenue,8,Editor,Manufacturing,Affluent Customer,2021,NSW
173,Ebba,Hanselmann,Female,1997-01-02,N,No,82520 Mifflin Drive,5,General Manager,Health,Affluent Customer,2333,NSW
174,Catie,Tosspell,Female,1989-11-26,N,No,8 Dixon Parkway,7,Food Chemist,Health,Mass Customer,2783,NSW
175,Templeton,Hambrook,Male,1975-11-28,N,No,4 Dayton Terrace,9,Quality Engineer,Manufacturing,Affluent Customer,2280,NSW
176,Angelo,Clayal,Male,1992-04-13,N,No,216 Barnett Junction,8,Accountant I,Property,Mass Customer,4120,QLD
177,Ondrea,Pablos,Female,1989-11-09,N,No,8256 Annamark Court,1,Professor,Financial Services,High Net Worth,3638,VIC
178,Matthieu,Bertelmot,Male,1967-04-03,N,No,83012 Dapin Lane,4,,n/a,Affluent Customer,4300,QLD
179,Esteban,Sewill,Male,1966-05-11,N,Yes,8 Haas Park,10,Environmental Tech,Manufacturing,High Net Worth,2074,NSW
180,Trisha,Neasham,Female,1971-09-17,N,No,50 Meadow Ridge Way,1,Web Designer III,Argiculture,Affluent Customer,2880,NSW
181,Pavla,Braunle,Female,1982-11-21,N,No,3567 Northfield Lane,5,Senior Editor,Manufacturing,Mass Customer,2430,NSW
182,Lydon,Dahlman,Male,1992-11-20,N,Yes,0059 Brentwood Road,7,Sales Associate,Financial Services,Affluent Customer,4560,QLD
183,Dannie,Hissie,Female,1997-08-05,N,No,0274 Oneill Alley,10,Geologist III,Retail,Affluent Customer,2088,NSW
184,Nappie,Paolo,Male,1971-12-13,N,Yes,4179 Carioca Terrace,11,Marketing Manager,Manufacturing,High Net Worth,2220,NSW
185,Crosby,Walcot,Male,1979-12-13,N,Yes,59265 Sullivan Junction,4,,Property,Mass Customer,3031,VIC
186,Mireielle,Jeppe,Female,1974-05-06,N,No,7 Warbler Point,9,Software Test Engineer I,Financial Services,Mass Customer,2250,NSW
187,Pincas,Ather,Male,1954-01-28,N,No,3 Buell Park,7,Structural Engineer,n/a,Mass Customer,2261,NSW
188,Audry,Seine,Female,1975-06-22,N,Yes,0 Bay Center,6,Safety Technician II,Property,High Net Worth,3196,VIC
189,Umberto,Torricella,Male,1981-07-19,N,No,10878 Waywood Way,7,Safety Technician I,Financial Services,Affluent Customer,4352,QLD
190,Hayley,Girardengo,Female,1979-02-04,N,No,362 Mayer Terrace,5,Registered Nurse,Health,Affluent Customer,4680,QLD
191,Christopher,Heining,Male,1960-04-27,N,Yes,43 Upham Crossing,9,Help Desk Operator,n/a,Affluent Customer,3143,VIC
192,Goldi,Osler,Female,1978-11-19,N,Yes,0 Superior Drive,8,Junior Executive,Health,Mass Customer,2747,NSW
193,Foss,Hardes,Male,1964-07-22,N,Yes,8890 Golden Leaf Street,12,Recruiting Manager,Manufacturing,Mass Customer,2063,NSW
194,Ursala,Ferrai,Female,1974-11-16,N,No,5484 Hagan Crossing,7,Web Developer III,Financial Services,Affluent Customer,3021,VIC
195,Talyah,Rylatt,Female,1958-11-14,N,No,7451 Jana Lane,8,Project Manager,Manufacturing,Mass Customer,2138,NSW
196,Swen,Odhams,Male,1966-02-22,N,No,7 Havey Point,2,Programmer Analyst II,Manufacturing,High Net Worth,4005,QLD
197,Avis,,Female,1977-01-27,N,No,32 Steensland Plaza,9,,n/a,High Net Worth,2233,NSW
198,Vanya,Gumb,Female,1981-11-29,N,No,107 Elmside Parkway,5,Assistant Media Planner,Entertainment,Mass Customer,4811,QLD
199,Verla,Alven,Female,1978-02-13,N,Yes,2 Gina Junction,11,Junior Executive,Health,Mass Customer,2085,NSW
200,Hube,Weald,Male,1957-02-04,N,Yes,4 Londonderry Lane,10,Physical Therapy Assistant,Property,Affluent Customer,3084,VIC
201,Salem,Huie,Male,1966-04-20,N,Yes,39716 Vera Junction,9,Design Engineer,Manufacturing,Mass Customer,3170,VIC
202,Audie,Pillinger,Female,1963-06-24,N,Yes,183 Ronald Regan Street,9,Librarian,Entertainment,Affluent Customer,2066,NSW
203,Donovan,Conry,Male,1964-01-13,N,Yes,2 Thierer Road,8,Senior Quality Engineer,Argiculture,Mass Customer,4113,QLD
204,Thorny,Hackworth,Male,1976-10-01,N,No,056 Stone Corner Alley,7,Editor,Financial Services,Mass Customer,4078,QLD
205,Rolfe,Kellard,Male,1958-12-01,N,Yes,528 Mandrake Crossing,11,Administrative Assistant II,Financial Services,Mass Customer,2222,NSW
206,Mari,Chevolleau,Female,1954-07-19,N,Yes,19969 5th Parkway,9,Statistician I,n/a,Mass Customer,3152,VIC
207,Adena,Whyman,Female,1994-08-10,N,No,78 Rockefeller Park,10,,n/a,Mass Customer,2159,NSW
